,Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
750,300201,Schmidt,['Russia'],Shield,Evidence Credible,,Kamchatka and Mainland Asia,54.92,160.63,2020,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
756,300241,Udina,['Russia'],Stratovolcano,Evidence Credible,,Kamchatka and Mainland Asia,55.758,160.527,2886,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
757,300242,Zimina,['Russia'],Stratovolcano,Evidence Credible,,Kamchatka and Mainland Asia,55.862,160.603,3057,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
759,300251,Kamen,['Russia'],Stratovolcano,Evidence Credible,,Kamchatka and Mainland Asia,56.02,160.593,4585,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
767,300290,Maly Payalpan,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,55.82,157.98,1802,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
768,300300,Bolshoi Payalpan,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,55.88,157.78,1906,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
769,300310,Plosky,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,55.2,158.47,1236,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
770,300320,Akhtang,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,55.43,158.65,1956,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
771,300330,Kozyrevsky,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,55.58,158.38,2016,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
772,300340,Romanovka,['Russia'],Stratovolcano,Evidence Uncertain,,Kamchatka and Mainland Asia,55.65,158.8,1442,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
773,300350,Uksichan,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,56.08,158.38,1692,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
775,300370,Kulkev,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,56.37,158.37,915,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
776,300380,Geodesistoy,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,56.33,158.67,1170,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
777,300390,Anaun,['Russia'],Stratovolcano,Evidence Uncertain,,Kamchatka and Mainland Asia,56.32,158.83,1828,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
778,300400,Krainy,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,56.37,159.03,1554,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
779,300410,Kekurny,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,56.4,158.85,1377,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
780,300420,Eggella,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,56.57,158.52,1046,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
781,300440,Verkhovoy,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,56.52,159.53,1400,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
783,300460,Cherny,['Russia'],Stratovolcano,Evidence Uncertain,,Kamchatka and Mainland Asia,56.82,159.67,1778,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
784,300470,Pogranychny,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,56.85,159.8,1427,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
785,300480,Zaozerny,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,56.88,159.95,1349,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
786,300490,Bliznets,['Russia'],Stratovolcano,Evidence Uncertain,,Kamchatka and Mainland Asia,56.97,159.78,1244,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
787,300500,Kebeney,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,57.1,159.93,1527,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
788,300510,Fedotych,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,57.13,160.4,965,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
792,300530,Leutongey,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,57.306,159.827,1318,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
793,300540,Tuzovsky,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,57.32,159.967,1516,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
798,300570,Mezhdusopochny,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,57.47,160.25,1641,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
799,300580,Shishel,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,57.45,160.37,2525,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
801,300600,Alngey,['Russia'],Stratovolcano,Evidence Uncertain,,Kamchatka and Mainland Asia,57.702,160.418,1822,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
802,300610,Uka,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,57.706,160.59,1607,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
803,300620,Kaileney,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,57.8,160.67,1582,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
804,300630,Plosky,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,57.83,160.25,1255,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
805,300640,Bely,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,57.88,160.53,2080,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
807,300660,Snezhniy,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,58.02,160.8,2169,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
808,300670,Iktunup,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,58.08,160.77,2300,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
811,300690,Snegovoy,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,58.2,160.97,2169,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
813,300710,Iettunup,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,58.4,161.08,1340,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
814,300720,Voyampolsky,['Russia'],Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,58.374,160.631,1103,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
816,302040,Vitim Plateau,['Russia'],Pyroclastic cone,Evidence Credible,,Kamchatka and Mainland Asia,53.7,113.3,1250,Basalt / Picro-Basalt,['unknown']
817,302050,Tunkin Depression,['Russia'],Volcanic field,Evidence Uncertain,,Kamchatka and Mainland Asia,51.5,102.5,1200,Trachybasalt / Tephrite Basanite,"['Rift zone', 'Continental crust']"
819,302070,Azas Plateau,['Russia'],Volcanic field,Evidence Credible,,Kamchatka and Mainland Asia,52.433,98.303,2765,Trachybasalt / Tephrite Basanite,"['Rift zone', 'Continental crust']"
821,303020,Khanuy Gol,['Mongolia'],Volcanic field,Evidence Credible,,Kamchatka and Mainland Asia,48.67,102.75,1886,Trachyandesite / Basaltic Trachyandesite,"['Intraplate', 'Continental crust']"
822,303030,Bus-Obo,['Mongolia'],Pyroclastic cone,Evidence Uncertain,,Kamchatka and Mainland Asia,46.995,109.355,1301,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
823,303040,Dariganga Volcanic Field,['Mongolia'],Pyroclastic cone,Evidence Credible,,Kamchatka and Mainland Asia,45.754,114.279,1778,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
824,303050,Middle Gobi,['Mongolia'],Pyroclastic cone,Evidence Uncertain,,Kamchatka and Mainland Asia,45.28,106.7,1120,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
826,305010,Honggeertu,['China'],Pyroclastic cone,Evidence Uncertain,,Kamchatka and Mainland Asia,41.47,113.0,1700,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
828,305020,Keluo Group,['China'],Pyroclastic cone,Evidence Credible,,Kamchatka and Mainland Asia,49.37,125.92,670,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
833,306020,Ch'uga-ryong,"['North Korea', 'South Korea']",Shield,Evidence Uncertain,,Kamchatka and Mainland Asia,38.33,127.33,452,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
836,311010,Buldir,['United States'],Stratovolcano,Evidence Uncertain,,Alaska,52.35,175.911,656,Basalt / Picro-Basalt,"['Subduction zone', 'Intermediate crust']"
838,311030,Segula,['United States'],Stratovolcano,Evidence Credible,,Alaska,52.015,178.136,1160,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
839,311040,Davidof,['United States'],Stratovolcano,Evidence Uncertain,,Alaska,51.97,178.33,328,,"['Subduction zone', 'Intermediate crust']"
845,311100,Bobrof,['United States'],Stratovolcano,Evidence Uncertain,,Alaska,51.91,-177.438,738,Basalt / Picro-Basalt,"['Subduction zone', 'Intermediate crust']"
855,311200,Chagulak,['United States'],Stratovolcano,Evidence Credible,,Alaska,52.577,-171.13,1142,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
857,311220,Herbert,['United States'],Stratovolcano,Evidence Credible,,Alaska,52.742,-170.111,1280,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
860,311241,Tana,['United States'],Stratovolcano,Evidence Credible,,Alaska,52.83,-169.77,1170,Rhyolite,"['Subduction zone', 'Intermediate crust']"
861,311250,Uliaga,['United States'],Stratovolcano,Evidence Credible,,Alaska,53.065,-169.77,888,,"['Subduction zone', 'Intermediate crust']"
864,311280,Recheschnoi,['United States'],Stratovolcano,Evidence Credible,,Alaska,53.157,-168.539,1984,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
872,311370,Isanotski,['United States'],Stratovolcano,Evidence Uncertain,,Alaska,54.765,-163.723,2446,,"['Subduction zone', 'Continental crust']"
875,312010,Frosty,['United States'],Stratovolcano,Evidence Credible,,Alaska,55.067,-162.835,1728,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
876,312011,Dutton,['United States'],Stratovolcano,Evidence Credible,,Alaska,55.183,-162.276,1465,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
877,312020,Emmons Lake,['United States'],Caldera,Evidence Credible,,Alaska,55.341,-162.073,1436,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
879,312040,Pavlof Sister,['United States'],Stratovolcano,Evidence Credible,,Alaska,55.457,-161.854,2142,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
881,312051,Stepovak Bay 2,['United States'],Pyroclastic cone,Evidence Credible,,Alaska,55.913,-160.041,1323,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
882,312052,Stepovak Bay 3,['United States'],Pyroclastic cone,Evidence Uncertain,,Alaska,55.929,-160.002,1555,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
883,312053,Stepovak Bay 4,['United States'],Stratovolcano,Evidence Credible,,Alaska,55.954,-159.954,1557,,"['Subduction zone', 'Continental crust']"
890,312120,Kialagvik,['United States'],Stratovolcano,Evidence Credible,,Alaska,57.203,-156.745,1677,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
893,312132,Unnamed,['United States'],Lava dome,Evidence Credible,,Alaska,57.87,-155.411,402,,"['Subduction zone', 'Continental crust']"
901,312210,Denison,['United States'],Stratovolcano,Evidence Uncertain,,Alaska,58.418,-154.449,2287,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
902,312220,Steller,['United States'],Stratovolcano,Evidence Credible,,Alaska,58.43,-154.4,2272,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
903,312230,Kukak,['United States'],Stratovolcano,Unrest / Holocene,,Alaska,58.453,-154.355,2043,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
906,312270,Douglas,['United States'],Stratovolcano,Evidence Credible,,Alaska,58.855,-153.542,2140,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
913,314030,Ingakslugwat Hills,['United States'],Pyroclastic cone,Evidence Credible,,Alaska,61.43,-164.47,190,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
914,314040,St. Michael,['United States'],Shield,Evidence Credible,,Alaska,63.45,-162.12,715,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
920,315050,Duncan Canal,['United States'],Volcanic field,Evidence Credible,,Alaska,56.5,-133.1,15,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
921,315060,Tlevak Strait-Suemez Is.,['United States'],Volcanic field,Evidence Credible,,Alaska,55.25,-133.3,50,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
922,315070,Behm Canal-Rudyerd Bay,['United States'],Pyroclastic cone,Evidence Uncertain,,Alaska,55.32,-131.05,500,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
923,320010,Fort Selkirk,['Canada'],Volcanic field,Evidence Uncertain,,Canada and Western USA,62.93,-137.38,1239,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
924,320020,Alligator Lake,['Canada'],Volcanic field,Evidence Credible,,Canada and Western USA,60.42,-135.42,2217,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
925,320030,Atlin Volcanic Field,['Canada'],Pyroclastic cone,Evidence Credible,,Canada and Western USA,59.68,-133.32,1880,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
926,320031,Tuya Volcanic Field,['Canada'],Volcanic field,Evidence Credible,,Canada and Western USA,59.37,-130.58,2123,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
927,320040,Heart Peaks,['Canada'],Shield,Evidence Uncertain,,Canada and Western USA,58.6,-131.97,2012,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
928,320050,Level Mountain,['Canada'],Shield,Evidence Uncertain,,Canada and Western USA,58.42,-131.35,2190,Trachyte / Trachydacite,"['Intraplate', 'Continental crust']"
930,320070,Spectrum Range,['Canada'],Shield,Evidence Credible,,Canada and Western USA,57.43,-130.68,2430,Rhyolite,"['Intraplate', 'Continental crust']"
934,320110,Crow Lagoon,['Canada'],Pyroclastic cone,Evidence Credible,,Canada and Western USA,54.7,-130.23,335,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
935,320120,Milbanke Sound Group,['Canada'],Pyroclastic cone,Evidence Credible,,Canada and Western USA,52.5,-128.73,335,Basalt / Picro-Basalt,"['Intraplate', 'Continental crust']"
938,320160,Silverthrone,['Canada'],Caldera,Evidence Credible,,Canada and Western USA,51.43,-126.3,3160,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
939,320170,Bridge River Cones,['Canada'],Volcanic field,Evidence Credible,,Canada and Western USA,50.8,-123.4,2500,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
941,320190,Garibaldi Lake,['Canada'],Volcanic field,Evidence Credible,,Canada and Western USA,49.933,-123.0,2316,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
943,320811,Cayley Volcanic Field,['Canada'],Volcanic field,Evidence Credible,,Canada and Western USA,50.12,-123.28,2375,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
960,322120,Devils Garden,['United States'],Volcanic field,Evidence Uncertain,,Canada and Western USA,43.512,-120.861,1698,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
961,322150,Cinnamon Butte,['United States'],Pyroclastic cone,Evidence Uncertain,,Canada and Western USA,43.241,-122.108,1956,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
968,323100,Clear Lake,['United States'],Volcanic field,Evidence Credible,,Canada and Western USA,38.97,-122.77,1439,Dacite,"['Subduction zone', 'Continental crust']"
974,323190,Lavic Lake,['United States'],Volcanic field,Evidence Uncertain,,Canada and Western USA,34.75,-116.625,1495,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
981,326010,Soda Lakes,['United States'],Maar,Evidence Credible,,Canada and Western USA,39.53,-118.87,1251,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
990,331005,West Valley Segment,['Canada'],Submarine,Unrest / Holocene,,Hawaii and Pacific Ocean,48.78,-128.64,-2550,,"['Rift zone', 'Intermediate crust']"
997,331032,Jackson Segment,['Undersea Features'],Submarine,Unrest / Holocene,,Hawaii and Pacific Ocean,42.15,-127.05,-3100,,"['Rift zone', 'Oceanic crust']"
999,331060,East Blanco Depression,['Undersea Features'],Submarine,Unrest / Holocene,,Hawaii and Pacific Ocean,44.267,-129.879,-3000,,"['Rift zone', 'Intermediate crust']"
1009,333040,Mehetia,['France'],Stratovolcano,Evidence Credible,,Hawaii and Pacific Ocean,-17.874,-148.068,389,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Oceanic crust']"
1021,335020,Hollister Ridge,['Undersea Features'],Submarine,Evidence Uncertain,,Hawaii and Pacific Ocean,-53.998,-139.845,-1000,,"['Intraplate', 'Oceanic crust']"
1022,335030,Udintsev Transform,['Undersea Features'],Submarine,Evidence Uncertain,,Hawaii and Pacific Ocean,-56.153,-143.373,-5700,,"['Intraplate', 'Oceanic crust']"
1023,341000,"Prieto, Cerro",['Mexico'],Lava dome,Evidence Uncertain,,México and Central America,32.418,-115.305,223,Dacite,"['Rift zone', 'Continental crust']"
1024,341001,Pinacate,['Mexico'],Pyroclastic cone,Evidence Credible,,México and Central America,31.772,-113.498,1200,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1025,341002,San Quintin Volcanic Field,['Mexico'],Pyroclastic cone,Evidence Uncertain,,México and Central America,30.468,-115.996,260,Trachybasalt / Tephrite Basanite,"['Rift zone', 'Continental crust']"
1026,341003,"San Luis, Isla",['Mexico'],Tuff cone,Evidence Credible,,México and Central America,29.97,-114.4,180,Rhyolite,"['Rift zone', 'Continental crust']"
1027,341004,Jaraguay Volcanic Field,['Mexico'],Pyroclastic cone,Evidence Credible,,México and Central America,29.33,-114.5,960,Andesite / Basaltic Andesite,"['Rift zone', 'Continental crust']"
1028,341005,Coronado,['Mexico'],Stratovolcano,Unrest / Holocene,,México and Central America,29.08,-113.513,440,,"['Rift zone', 'Continental crust']"
1029,341006,Guadalupe,['Mexico'],Shield,Evidence Credible,,México and Central America,29.07,-118.28,1100,Trachyandesite / Basaltic Trachyandesite,"['Rift zone', 'Oceanic crust']"
1030,341007,San Borja Volcanic Field,['Mexico'],Pyroclastic cone,Evidence Credible,,México and Central America,28.5,-113.75,1360,Andesite / Basaltic Andesite,"['Rift zone', 'Continental crust']"
1031,341010,Tres Virgenes,['Mexico'],Stratovolcano,Evidence Uncertain,,México and Central America,27.47,-112.591,1934,Andesite / Basaltic Andesite,"['Rift zone', 'Continental crust']"
1032,341011,"Tortuga, Isla",['Mexico'],Shield,Evidence Credible,,México and Central America,27.438,-111.881,224,Basalt / Picro-Basalt,"['Rift zone', 'Continental crust']"
1033,341012,Comondu-La Purisima,['Mexico'],Volcanic field,Evidence Uncertain,,México and Central America,26.0,-111.92,780,Trachyandesite / Basaltic Trachyandesite,"['Rift zone', 'Continental crust']"
1036,341022,Durango Volcanic Field,['Mexico'],Pyroclastic cone,Evidence Credible,,México and Central America,24.15,-104.45,2075,Trachybasalt / Tephrite Basanite,"['Subduction zone', 'Continental crust']"
1037,341023,"Isabel, Isla",['Mexico'],Tuff cone,Evidence Uncertain,,México and Central America,21.848,-105.886,95,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1038,341024,Sanganguey,['Mexico'],Stratovolcano,Evidence Credible,,México and Central America,21.45,-104.73,2340,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1040,341031,Mascota Volcanic Field,['Mexico'],Pyroclastic cone,Evidence Credible,,México and Central America,20.62,-104.83,2560,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1047,341081,Papayo,['Mexico'],Lava dome,Evidence Credible,,México and Central America,19.308,-98.7,3600,Dacite,"['Subduction zone', 'Continental crust']"
1048,341082,Iztaccihuatl,['Mexico'],Stratovolcano,Evidence Credible,,México and Central America,19.179,-98.642,5230,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1051,341092,Serdan-Oriental,['Mexico'],Tuff cone,Evidence Credible,,México and Central America,19.27,-97.47,3485,Rhyolite,"['Subduction zone', 'Continental crust']"
1053,341094,"Atlixcos, Los",['Mexico'],Shield,Evidence Credible,,México and Central America,19.809,-96.526,800,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1056,341097,"Gloria, La",['Mexico'],Volcanic field,Evidence Credible,,México and Central America,19.33,-97.25,3500,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1062,342020,Tajumulco,['Guatemala'],Stratovolcano,Evidence Credible,,México and Central America,15.043,-91.903,4203,Dacite,"['Subduction zone', 'Continental crust']"
1066,342070,Toliman,['Guatemala'],Stratovolcano,Evidence Credible,,México and Central America,14.612,-91.189,3158,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1069,342100,Agua,['Guatemala'],Stratovolcano,Evidence Credible,,México and Central America,14.465,-90.743,3760,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1071,342111,Cuilapa-Barbarena,['Guatemala'],Volcanic field,Evidence Credible,,México and Central America,14.33,-90.4,1454,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1073,342121,Jumaytepeque,['Guatemala'],Stratovolcano,Evidence Uncertain,,México and Central America,14.336,-90.269,1815,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1074,342130,Moyuta,['Guatemala'],Stratovolcano,Evidence Credible,,México and Central America,14.03,-90.1,1662,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1075,342140,Flores,['Guatemala'],Volcanic field,Evidence Credible,,México and Central America,14.308,-89.992,1600,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1076,342141,Tahual,['Guatemala'],Stratovolcano,Evidence Credible,,México and Central America,14.43,-89.9,1716,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1077,342150,"Santiago, Cerro",['Guatemala'],Volcanic field,Evidence Credible,,México and Central America,14.33,-89.87,1192,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1078,342160,Suchitan,['Guatemala'],Stratovolcano,Evidence Credible,,México and Central America,14.4,-89.78,2042,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1079,342170,Chingo,"['Guatemala', 'El Salvador']",Stratovolcano,Evidence Credible,,México and Central America,14.12,-89.73,1775,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1080,342180,Ixtepeque,['Guatemala'],Lava dome,Evidence Credible,,México and Central America,14.42,-89.68,1292,Rhyolite,"['Subduction zone', 'Continental crust']"
1081,342190,Ipala,['Guatemala'],Stratovolcano,Evidence Credible,,México and Central America,14.55,-89.63,1650,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1082,342200,Chiquimula Volcanic Field,['Guatemala'],Pyroclastic cone,Evidence Credible,,México and Central America,14.83,-89.55,1192,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1083,342210,Quezaltepeque,['Guatemala'],Volcanic field,Evidence Credible,,México and Central America,14.57,-89.45,1200,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1084,343001,San Diego,"['El Salvador', 'Guatemala']",Volcanic field,Evidence Credible,,México and Central America,14.27,-89.48,781,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1085,343002,"Singuil, Cerro",['El Salvador'],Pyroclastic cone,Evidence Credible,,México and Central America,14.054,-89.631,926,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1086,343010,Apaneca Range,['El Salvador'],Stratovolcano,Evidence Credible,,México and Central America,13.891,-89.786,2036,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1089,343041,Coatepeque Caldera,['El Salvador'],Caldera,Evidence Credible,,México and Central America,13.87,-89.55,746,Rhyolite,"['Subduction zone', 'Continental crust']"
1091,343051,"Cinotepeque, Cerro",['El Salvador'],Volcanic field,Evidence Credible,,México and Central America,14.02,-89.25,665,,"['Subduction zone', 'Continental crust']"
1092,343052,Guazapa,['El Salvador'],Stratovolcano,Evidence Uncertain,,México and Central America,13.9,-89.12,1438,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1094,343070,San Vicente,['El Salvador'],Stratovolcano,Evidence Credible,,México and Central America,13.595,-88.837,2182,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1095,343071,Apastepeque Field,['El Salvador'],Volcanic field,Evidence Credible,,México and Central America,13.72,-88.77,700,Dacite,"['Subduction zone', 'Continental crust']"
1096,343072,Taburete,['El Salvador'],Stratovolcano,Evidence Uncertain,,México and Central America,13.435,-88.532,1172,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1097,343080,Tecapa,['El Salvador'],Stratovolcano,Evidence Credible,,México and Central America,13.494,-88.502,1593,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1098,343081,Usulutan,['El Salvador'],Stratovolcano,Evidence Credible,,México and Central America,13.419,-88.471,1449,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1099,343082,"Tigre, El",['El Salvador'],Stratovolcano,Evidence Credible,,México and Central America,13.47,-88.43,1640,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1100,343090,Chinameca,['El Salvador'],Stratovolcano,Evidence Credible,,México and Central America,13.478,-88.33,1300,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1102,343101,"Aramuaca, Laguna",['El Salvador'],Maar,Evidence Credible,,México and Central America,13.428,-88.105,181,,"['Subduction zone', 'Continental crust']"
1103,343130,"Tigre, Isla el",['Honduras'],Stratovolcano,Evidence Credible,,México and Central America,13.272,-87.641,783,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1104,343140,"Zacate Grande, Isla",['Honduras'],Stratovolcano,Evidence Credible,,México and Central America,13.33,-87.63,640,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1105,343150,"Yojoa, Lake",['Honduras'],Volcanic field,Evidence Credible,,México and Central America,14.98,-87.98,1090,Trachybasalt / Tephrite Basanite,"['Subduction zone', 'Continental crust']"
1106,343160,Utila Island,['Honduras'],Pyroclastic cone,Evidence Credible,,México and Central America,16.12,-86.882,74,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1110,344060,Rota,['Nicaragua'],Stratovolcano,Evidence Credible,,México and Central America,12.55,-86.75,832,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1117,344101,Granada,['Nicaragua'],Fissure vent,Evidence Credible,,México and Central America,11.92,-85.98,300,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1118,344110,Mombacho,['Nicaragua'],Stratovolcano,Unrest / Holocene,,México and Central America,11.826,-85.968,1344,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
